Row number,avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
85,158,support,,0.543576313,2,,low,0.352520083,Left,3
86,156,sales,,,3,,low,0.549054593,Employed,2
87,283,IT,,,3,,low,0.550003652,Employed,3
88,113,,,0.51179362,4,,low,0.632133264,Employed,3
89,214,IT,1,,4,,low,0.969407787,Employed,2
90,181,product,1,0.674893831,3,,medium,0.547941154,Employed,3
91,140,support,,0.801322765,4,,low,0.526745455,Employed,3
92,184,engineering,,0.91845009,4,,low,0.914882605,Employed,3
93,168,sales,1,0.38962669,3,,low,0.394051565,Employed,3
94,146,engineering,,0.557437297,2,,medium,0.471104659,Left,3
95,251,engineering,,0.871911091,4,,medium,0.696053471,Employed,2
96,219,support,,1,5,,low,0.734579415,Left,5
97,170,product,,0.518013684,2,,low,0.352082286,Employed,3
98,187,marketing,,0.680370266,4,,medium,0.189115472,Employed,5
99,207,product,,0.495033515,3,,medium,0.576405945,Employed,3
100,165,support,,0.598530648,5,,low,0.769536381,Employed,3
101,241,,,0.766544821,3,,low,0.851892327,Employed,3
102,139,engineering,,,4,,low,0.771816992,Employed,3
103,165,support,,0.838420071,3,,low,0.598248189,Employed,4
104,167,engineering,,0.625649373,5,,low,0.48711385,Employed,2
105,163,sales,,0.927717667,4,,medium,0.792414076,Employed,3
106,161,,,0.695097614,2,,medium,0.611688697,Employed,5
107,271,IT,,0.969304005,6,,low,0.172048603,Left,4
108,310,sales,,0.858179169,7,,medium,0.14712497,Left,4
109,257,support,,0.725018809,4,,low,0.762030408,Employed,3
110,278,sales,,0.86223674,7,,low,0.09798443,Left,4
111,229,engineering,,0.630154828,3,,medium,0.081563741,Employed,6
112,186,IT,,0.560171576,3,,medium,0.736063189,Employed,3
113,211,sales,,0.947729025,4,,high,0.355979751,Employed,7
114,248,management,,,4,,high,0.6236264,Employed,3
115,231,management,1,,3,,high,0.745388743,Employed,2
116,266,sales,,0.872041703,3,,low,0.694190318,Employed,5
117,135,engineering,,0.451192122,2,,low,0.39165186,Left,3
118,248,support,,1,5,,medium,0.700604106,Left,5
119,161,IT,,0.725723556,4,,low,0.785723887,Employed,3
120,212,product,,0.872785534,3,,medium,0.53186313,Employed,2
121,103,,,0.583870365,3,,low,0.381824396,Employed,3
122,160,sales,,0.890712724,3,,low,0.76176503,Employed,2
123,268,engineering,,0.797235381,5,,low,0.851411584,Employed,3
124,116,sales,1,0.845078319,4,,low,0.309868647,Employed,3
125,150,,,0.559400039,2,,low,0.444263577,Left,3
126,146,IT,,0.500957306,2,,low,0.411233749,Left,3
127,215,IT,,0.421692216,6,,medium,0.606946726,Employed,3
128,194,sales,,0.534309122,5,,high,0.969190798,Employed,2
129,200,product,,0.425131894,5,,medium,0.565407294,Employed,4
130,213,sales,,0.770463824,3,,high,0.543262177,Employed,3
131,163,information_technology,,0.905180515,3,,low,0.93331322,Employed,2
132,148,sales,,0.473026924,2,,low,0.443427764,Left,3
133,245,product,,0.506201223,2,,medium,0.454911642,Employed,5
134,250,support,,0.873045465,3,,low,0.553442105,Left,2
135,250,sales,1,0.828825764,5,,low,0.832955696,Employed,2
136,173,engineering,,0.725963978,2,,medium,0.452392398,Employed,2
137,248,sales,1,0.896942281,4,,low,0.741786835,Employed,3
138,158,management,,0.635545736,5,,medium,0.956238934,Employed,3
139,196,support,,0.840207779,4,,low,0.468987246,Employed,2
140,265,procurement,,0.626653132,3,,low,0.90615931,Employed,8
141,159,engineering,,0.86812102,3,,high,0.961235399,Employed,3
142,262,sales,,0.907731549,5,,medium,0.972423058,Employed,3
143,175,sales,,0.403619418,3,,medium,0.284677296,Employed,3
144,278,sales,,0.777881167,7,,low,0.114724687,Left,4
145,248,sales,,0.85938383,5,,low,0.933486377,Left,5
146,275,product,,0.52409506,3,,low,0.63172969,Employed,2
147,258,support,,0.866158287,5,,low,0.293123235,Employed,6
148,253,engineering,,1,5,,medium,0.852952126,Left,5
149,165,support,,0.643410637,4,,low,0.161553642,Employed,5
150,269,support,1,0.76736907,3,,medium,0.248522035,Employed,4
151,148,finance,,0.538478484,2,,medium,0.467529517,Left,3
152,156,sales,1,0.950282238,4,,low,0.672060063,Employed,2
153,274,sales,1,0.811500421,4,,low,0.839058814,Employed,2
154,196,support,1,1,3,,low,0.705585359,Employed,6
155,146,engineering,1,0.358995978,3,,low,0.623106482,Employed,4
156,274,sales,,0.489904811,2,,low,0.666894022,Left,4
157,139,marketing,,0.519776983,2,,low,0.37246341,Left,3
158,132,product,,0.437142716,4,,high,0.63120029,Employed,3
159,231,IT,1,0.615510631,5,,medium,0.23703056,Employed,4
160,254,sales,,0.547034374,4,,low,0.505421912,Left,4
161,189,admin,,0.539467271,4,,low,0.831444386,Employed,4
162,104,support,,0.789125351,5,,low,0.780337176,Employed,4
163,254,marketing,,0.870856423,4,,low,0.82974563,Left,5
164,253,sales,,0.557354737,5,,medium,0.729650605,Employed,6
165,170,sales,,0.661489035,2,,low,0.486900105,Employed,8
166,195,sales,,0.690941338,3,,medium,0.872122928,Employed,3
167,255,management,,0.560749082,5,,medium,0.792703877,Employed,4
168,194,engineering,,0.864980948,4,,medium,0.547342771,Employed,2
169,260,IT,,0.879114108,5,,low,0.789346881,Left,5
170,212,finance,1,0.420018285,4,,low,0.371534724,Employed,2
171,219,marketing,,,5,,medium,0.933851071,Employed,2
172,187,management,,0.960285715,4,,high,0.681413303,Employed,3
173,252,,,0.778952707,4,,medium,0.770546468,Employed,6
174,281,sales,,0.531936759,4,,medium,0.190744826,Employed,7
175,163,IT,,0.615938074,4,,low,0.947393875,Employed,5
176,155,engineering,,0.897609839,3,,medium,0.94614471,Employed,3
177,208,management,,0.60280758,4,1,high,0.894854283,Employed,7
178,280,sales,,0.948757982,6,,low,0.152192723,Left,4
179,137,sales,,0.874794039,3,,low,1,Employed,3
180,242,information_technology,,0.931466717,4,,medium,0.63575761,Employed,2
181,229,sales,,0.667988996,2,,low,0.893746528,Employed,4
182,269,sales,,0.87432046,6,,low,0.041301712,Left,4
183,173,,,0.723364873,5,,low,0.534218145,Employed,2
184,153,support,,0.588430038,5,,low,0.546394858,Left,4
185,282,,,0.981290494,6,,medium,0.063589258,Left,4
186,233,support,,0.543301857,4,,low,0.581044903,Employed,4
187,275,support,,0.396084595,3,,low,0.218914617,Employed,5
188,179,support,,0.568593437,3,,low,0.716163505,Employed,4
189,195,engineering,,0.836247906,5,,low,0.783391447,Employed,4
190,206,marketing,,0.582062894,2,,low,0.784731507,Employed,2
191,239,product,,0.919373591,4,,low,0.829871872,Left,5
192,208,IT,1,0.816689814,4,,low,0.834378675,Employed,3
193,150,engineering,,0.676225844,3,,medium,0.292929572,Employed,2
194,219,engineering,,,4,,low,0.873812695,Employed,3
195,172,sales,,,5,,low,0.326353372,Left,2
196,201,finance,,0.725670905,3,,medium,0.750231784,Employed,4
197,222,sales,,0.964847579,5,1,medium,0.889826977,Employed,3
198,228,sales,,1,2,,low,0.248174994,Employed,3
199,198,,,0.954191046,2,,low,0.583854409,Employed,2
200,146,marketing,,0.505558308,2,,low,0.420327396,Left,3
201,219,support,,0.88576585,6,,low,0.29474173,Left,5
202,257,engineering,,0.831322416,5,,medium,0.995278007,Employed,4
203,124,sales,,0.640118805,3,,medium,0.638738856,Employed,3
204,208,,,0.883595218,4,,medium,0.925668188,Employed,2
205,129,support,,0.402660372,2,,medium,0.437359473,Left,3
206,259,product,,0.80930227,3,,high,0.463828674,Employed,2
207,142,support,,0.555112083,3,,low,0.682987766,Employed,3
208,238,,,0.926769785,3,,low,0.875167875,Employed,2
209,239,sales,,0.915881389,4,,low,0.882138138,Left,5
210,152,support,,0.619823018,2,,low,0.524761713,Left,3
211,248,sales,,0.672234591,3,,medium,0.718742747,Employed,4
212,111,sales,,0.983301705,4,,high,0.834831795,Employed,2
213,180,sales,,0.557827629,4,,high,0.946873069,Employed,5
214,221,support,,0.885106066,5,,medium,0.794340394,Left,6
215,237,support,,0.443884581,2,,low,0.530736921,Employed,2
216,213,sales,,0.70083551,4,,low,0.776922013,Employed,3
217,160,sales,,0.501879664,2,,low,0.497401978,Left,3
218,255,sales,,0.668790393,4,,medium,0.911823501,Employed,2
219,288,support,,0.957495483,6,,medium,0.06848838,Left,4
220,258,management,,0.781828644,4,,high,0.703745934,Employed,3
221,199,sales,,0.81133575,4,,low,0.737229323,Employed,2
222,256,support,,0.407778539,3,,medium,0.633255106,Employed,6
223,305,finance,,0.845605427,6,,medium,0.10288247,Left,4
224,185,support,,0.921436202,5,,low,0.567765322,Employed,2
225,185,IT,,0.662768618,4,,medium,0.573997862,Employed,2
226,211,information_technology,,0.606593988,3,,low,0.579431608,Employed,3
227,283,engineering,1,0.834331886,6,,low,0.127897465,Left,4
228,138,engineering,,0.856343723,5,,low,0.623389568,Employed,3
229,143,support,,0.772785656,4,,medium,0.829761341,Employed,3
230,134,sales,,,3,,medium,0.45196129,Employed,3
231,234,marketing,,,3,,medium,0.729327344,Employed,2
232,258,engineering,,0.935780677,4,,medium,0.964425982,Left,5
233,166,sales,,0.575457056,3,,medium,0.921557036,Employed,3
234,260,IT,,0.812303998,6,,medium,0.044844109,Left,4
235,176,sales,,0.430214501,4,,low,0.319175891,Employed,2
236,153,product,,0.470466923,2,,low,0.408640714,Left,3
237,154,marketing,,0.547320382,2,,low,0.341206158,Left,3
238,291,engineering,,0.937830749,5,,low,0.152143751,Left,4
239,273,marketing,1,0.654988147,6,,medium,0.743338094,Employed,4
240,140,engineering,,0.608738573,4,,high,0.557744024,Employed,3
241,240,IT,,0.896967279,5,,medium,0.938703314,Left,5
242,236,sales,,0.587849956,4,,low,0.794786308,Employed,4
243,242,management,,0.918022859,4,,medium,0.661007788,Employed,2
244,171,admin,,0.722839486,4,,medium,0.910598382,Employed,4
245,150,support,,0.874513192,4,,high,0.48075307,Employed,2
246,152,product,,0.439785251,2,,low,0.340777989,Left,3
247,182,engineering,,0.747105843,3,,low,0.855362185,Left,4
248,133,engineering,,0.809890762,4,1,medium,0.747699652,Employed,3
249,230,sales,1,0.68394074,3,,medium,0.587527383,Employed,3
250,251,sales,,0.52323211,3,,low,0.529079006,Employed,2
251,225,sales,,0.688970082,5,,medium,0.691658302,Employed,7
252,164,engineering,,0.914324282,5,,low,0.679091976,Employed,3
253,81,temp,,,1,,low,,Employed,
254,211,sales,,0.881951255,3,,medium,0.807293307,Employed,3
255,162,sales,,0.797551377,3,,medium,0.809674388,Employed,3
256,242,,1,0.775716409,4,,medium,0.870238074,Employed,3
257,132,engineering,,0.626425378,4,,medium,0.567430426,Employed,4
258,149,sales,,0.492048066,2,,low,0.400385079,Left,3
259,251,engineering,,0.735476323,6,,low,0.837665155,Employed,4
260,158,IT,,0.546333238,2,,low,0.391486854,Left,3
261,228,,,0.93720218,4,,low,0.745604096,Left,5
262,229,support,,0.669369532,6,,medium,0.51328958,Employed,3
263,272,engineering,,0.782624132,6,,low,0.056796462,Left,4
264,195,engineering,1,0.94693205,4,,medium,0.46917488,Employed,3
265,241,,,0.483043891,3,,medium,0.654685819,Employed,3
266,305,engineering,,0.932577711,6,,low,0.149254771,Left,4
267,232,sales,,0.715695137,4,,medium,0.797199339,Employed,3
268,241,engineering,,0.695768463,4,,high,0.874733519,Employed,3
269,183,management,,0.558828548,2,,medium,0.322313897,Employed,2
270,135,information_technology,,0.755850362,4,1,medium,0.802298836,Employed,3
271,193,admin,,,3,,medium,1,Employed,3
272,120,finance,1,0.465232048,3,,medium,0.56061647,Employed,6
273,145,support,,0.460142187,2,,low,0.394719458,Left,3
274,126,sales,,0.934856575,5,,medium,0.628427005,Employed,5
275,243,support,,1,5,,medium,0.763318737,Left,5
276,252,IT,,0.927306096,4,,low,0.549252851,Employed,4
277,159,,,0.470259372,2,,high,0.455563316,Left,3
278,171,support,,0.592567612,3,,medium,0.584325275,Employed,3
279,223,sales,,0.872945548,3,,high,0.679167197,Employed,7
280,201,support,1,0.810456447,4,,low,0.84832278,Employed,2
281,261,IT,,0.787146266,4,,medium,0.86527196,Employed,2
282,298,IT,,0.855277604,5,,low,0.141536431,Left,4
283,161,management,,0.542174831,4,1,medium,0.673397028,Employed,7
284,134,procurement,,0.697251215,5,,medium,0.720455911,Employed,3
285,103,product,,0.91890531,5,,low,0.727818116,Employed,5
286,227,engineering,,0.887557921,3,,low,0.537563302,Employed,2
287,127,sales,,0.587762987,2,,low,0.429998207,Left,3
288,204,engineering,,0.508272947,4,,high,0.576594974,Employed,3
289,145,finance,,0.809748292,6,,medium,0.708500811,Employed,3
290,243,engineering,,0.978247937,5,,medium,0.591558863,Employed,2
291,186,IT,,0.482528934,3,,medium,0.728936842,Employed,3
292,71,temp,,,2,,low,,Employed,
293,185,sales,1,0.82054431,6,,high,1,Employed,4
294,270,,,0.881506799,3,,medium,0.683904151,Employed,6
295,267,management,,0.804382999,3,,high,0.464175772,Employed,2
296,225,finance,,0.484329207,5,,high,0.842398847,Employed,2
297,170,IT,,0.324238731,3,,low,0.704781642,Employed,6
298,115,sales,,0.667318627,2,,high,0.454341666,Employed,3
299,154,IT,,0.619474229,2,,low,0.438450195,Left,3
300,173,engineering,1,0.535500741,4,,low,0.824315564,Employed,2
301,226,support,,0.6481067,5,,medium,0.193505896,Employed,3
302,229,sales,,0.760090921,4,,low,0.522014218,Employed,3
303,134,IT,,0.774788809,4,,low,0.553170586,Employed,2
304,240,support,,1,5,,low,0.849292965,Left,5
305,191,engineering,,0.617768836,4,,low,0.925228859,Employed,2
306,271,sales,,0.945908852,5,,low,0.846959031,Left,5
307,269,finance,,0.931231642,7,,medium,0.141091664,Left,4
308,139,engineering,,0.536879417,2,,low,0.508276429,Left,3
309,271,finance,,0.878855358,3,,medium,0.779446773,Employed,2
310,145,support,1,0.84912871,3,,medium,0.870789582,Employed,3
311,304,engineering,,0.788649514,6,,medium,0.055987864,Left,5
312,135,support,,0.820126157,5,,low,0.743488397,Employed,2
313,246,IT,,0.838646297,4,,high,0.493856859,Employed,3
314,267,sales,,0.917810092,6,,medium,0.551003282,Employed,4
315,177,engineering,,1,3,,medium,0.812509061,Employed,2
316,254,support,,0.600515546,3,,high,0.876948222,Employed,2
317,155,sales,,,2,,low,0.175041589,Employed,3
318,147,marketing,,0.473579261,2,,low,0.386421451,Left,3
319,244,IT,,0.673256353,4,,medium,0.663379467,Employed,2
320,250,sales,1,,5,,medium,0.75968504,Employed,3
321,180,engineering,,0.933865141,5,,high,0.640398816,Employed,2
322,251,engineering,,1,4,,low,0.92544886,Left,6
323,134,,,0.730751178,3,,low,0.90494751,Employed,3
324,271,sales,,0.981718432,3,,low,0.82849542,Employed,3
325,198,engineering,,0.369245007,2,,medium,0.282134077,Employed,4
326,135,marketing,1,0.980276027,5,,low,0.734445991,Employed,4
327,203,engineering,,0.82104021,5,,low,0.938134351,Employed,3
328,287,IT,,0.497424602,3,,low,0.534208189,Employed,5
329,238,engineering,,0.687163281,3,,medium,0.820344466,Employed,2
330,160,support,,0.651745864,3,,medium,0.78066812,Employed,3
331,192,sales,,0.613536811,2,,low,0.812356586,Employed,2
332,258,product,,,3,,medium,0.692047182,Employed,3
333,240,IT,,0.751613475,5,,medium,0.751948372,Employed,4
334,178,,,0.708359723,3,,medium,0.754021371,Employed,2
335,221,sales,,1,5,,medium,0.928914977,Left,6
336,138,sales,1,0.493111694,3,,low,0.644223236,Employed,2
337,188,sales,,0.816158789,2,,low,0.905410585,Employed,2
338,289,support,,0.935601244,6,,medium,0.177665058,Left,5
339,197,sales,,0.95137173,4,,medium,0.941884497,Employed,3
340,231,sales,,0.889775427,4,,low,0.194289584,Employed,5
341,153,sales,1,0.501209658,2,,low,0.44417001,Left,3
342,128,sales,,0.478650945,2,,medium,0.498347641,Left,3
343,149,admin,,0.505404539,2,,low,0.451831955,Left,3
344,185,sales,,,3,,low,0.568078977,Employed,2
345,229,engineering,,0.58576686,5,,medium,0.731081718,Employed,3
346,175,,,0.781038473,4,,medium,0.52875618,Employed,2
347,128,engineering,,0.542552918,2,,low,0.414887724,Left,3
348,241,sales,,0.759678231,5,,high,0.595920716,Employed,3
349,101,temp,,,1,,medium,,Employed,
350,247,engineering,,0.843420423,4,,low,0.813121979,Left,6
351,269,support,,0.766107319,3,,medium,0.788812376,Employed,2
352,229,sales,,0.411979487,5,,low,0.110744049,Employed,4
353,188,engineering,,0.547315072,3,,high,0.521734232,Employed,3
354,212,sales,,0.971187064,4,,low,0.80880377,Employed,2
355,252,support,,,3,,medium,0.783714978,Employed,3
356,222,sales,,,5,,low,0.947266481,Employed,2
357,270,sales,,0.992404549,5,,low,0.881872308,Left,5
358,183,marketing,,0.548852484,4,,low,0.644169889,Employed,3
359,163,marketing,,0.630924087,5,,medium,0.621823213,Employed,4
360,207,sales,,0.524260525,4,,low,0.207366945,Employed,5
361,234,sales,1,0.679222178,3,,high,0.697381605,Employed,3
362,121,sales,,0.676053747,3,,low,0.351328514,Employed,2
363,131,engineering,1,0.79873264,3,,low,0.270826973,Employed,5
364,160,sales,,0.508931776,2,,low,0.407259341,Left,3
365,207,engineering,,0.971517874,3,,low,0.620397288,Employed,10
366,224,engineering,,1,4,,medium,0.833914798,Left,5
367,132,procurement,,0.485557419,2,,low,0.445788774,Left,3
368,139,sales,,1,5,,medium,0.606315129,Employed,2
369,192,engineering,1,0.557127094,5,,low,0.833812004,Employed,3
370,167,IT,1,0.786409374,4,,medium,0.956516833,Employed,3
371,265,finance,,0.477688572,3,,low,0.548908319,Employed,3
372,259,product,,0.972940232,5,,low,0.780662177,Left,6
373,194,engineering,,0.741481516,5,,low,0.759352064,Employed,4
374,207,marketing,,0.599513318,3,,medium,0.693813142,Employed,3
375,262,engineering,1,0.88596962,6,,low,0.067299255,Left,5
376,134,,,0.555718259,2,,low,0.51104117,Left,3
377,181,product,1,0.674986056,3,,medium,0.511395225,Employed,3
378,134,support,,0.973904456,4,,medium,0.612973587,Employed,3
379,129,IT,,,2,,low,0.347964565,Left,3
380,220,engineering,,1,5,,low,0.738592455,Left,5
381,156,support,1,0.620626613,3,,low,0.687738862,Employed,6
382,211,support,,0.926502829,3,,medium,0.765325192,Employed,3
383,136,sales,,0.940961681,5,,low,0.954677253,Employed,4
384,132,engineering,,0.520295533,2,,medium,0.374531039,Left,3
385,268,finance,1,0.886970234,6,,medium,0.410271278,Employed,4
386,156,sales,,0.734374757,3,,medium,0.962208334,Employed,3
387,272,sales,,0.956014645,5,,low,0.839977629,Left,5
388,265,admin,,,4,,low,0.509272071,Employed,3
389,154,finance,,0.462849878,2,,medium,0.435522751,Left,3
390,230,management,,0.75736087,5,,high,0.669176181,Employed,10
391,186,support,1,0.765095163,5,,medium,0.296412233,Employed,4
392,129,support,,,2,,medium,0.441719407,Left,3
393,155,sales,,,2,,low,0.445411197,Left,3
394,136,,,0.517539541,2,,medium,0.423278538,Left,3
395,129,support,,0.665489214,6,,low,0.440123424,Employed,5
396,147,management,1,0.612443964,2,,low,0.489455675,Left,3
397,159,sales,,0.563007969,2,,low,0.433555868,Left,3
398,161,IT,,0.669016319,4,,medium,0.559236788,Employed,2
399,163,engineering,,0.545444025,6,,low,0.655196422,Employed,6
400,140,,,0.691230981,5,,medium,0.700583973,Employed,3
401,137,information_technology,,0.543217289,2,,medium,0.442070474,Left,3
402,204,marketing,,,3,,medium,0.564413214,Employed,2
403,257,marketing,,,3,,low,0.854874525,Employed,2
404,178,sales,,0.555218279,2,,low,0.327027198,Employed,3
405,239,support,,0.916496442,5,,low,0.913425235,Employed,3
406,186,management,,0.884772269,4,1,medium,0.526487653,Employed,7
407,267,support,,0.828781202,5,,low,0.789816233,Left,5
408,148,admin,,0.777313904,4,,medium,0.814206238,Employed,3
409,264,finance,,0.976640448,5,1,high,0.560092558,Employed,8
410,139,support,,0.592461611,6,,high,0.198544636,Left,4
411,151,engineering,,0.752473955,2,,low,0.358688144,Left,4
412,198,engineering,,0.437324937,2,,medium,0.327954966,Employed,4
413,263,support,1,0.937910551,4,,medium,0.932798296,Employed,3
414,272,sales,,0.736919065,5,,low,0.299793505,Employed,2
415,265,IT,,0.732453524,3,,medium,0.556060519,Employed,3
416,220,sales,,0.785668408,3,,low,0.7049244,Employed,3
417,250,marketing,,0.922390811,6,,medium,0.815233738,Employed,2
418,140,support,,0.463615317,2,,low,0.390742693,Left,3
419,209,support,1,0.657307554,3,,low,0.958934978,Employed,2
420,217,support,,0.817389344,4,,medium,0.745302345,Left,6
421,186,sales,,0.617404417,4,,medium,0.712036819,Employed,2
422,263,marketing,,0.830448351,3,,medium,0.345651999,Employed,3
423,172,sales,,0.925526352,5,,low,0.294151065,Left,2
424,233,support,,0.837229695,5,,low,0.629526156,Employed,3
425,204,finance,,0.812852228,3,,medium,0.608494054,Employed,10
426,203,finance,,0.872623013,3,,high,0.889926518,Employed,3
427,198,management,,0.672337212,4,,medium,0.540863182,Employed,2
428,266,sales,,0.859275451,4,,high,0.731532981,Employed,3
429,252,engineering,1,0.579733714,4,,medium,0.728960284,Employed,2
430,141,sales,1,0.500763298,2,,low,0.423381242,Left,3
431,161,IT,,0.951272716,5,,medium,0.252660195,Employed,5
432,214,,,0.773991216,3,,medium,0.639586425,Employed,3
433,118,support,,0.480348135,5,,low,0.880059477,Employed,3
434,264,engineering,,0.53484706,5,,medium,0.834178485,Employed,3
435,130,engineering,,0.459486223,2,,low,0.388936249,Left,3
436,241,engineering,1,0.766831042,4,,low,0.550338351,Employed,3
437,185,finance,,0.938822236,3,,medium,0.710353929,Employed,4
438,231,marketing,,0.901877326,5,,medium,0.993827688,Employed,2
439,245,engineering,,0.874238815,5,,low,0.481629751,Employed,2
440,218,support,,0.576683233,3,,medium,0.784948749,Employed,2
441,277,IT,,1,2,,medium,0.755369825,Left,3
442,119,temp,,,2,,medium,,Left,
443,182,sales,,0.877207115,3,,low,1,Employed,4
444,158,sales,,0.617175992,2,,low,0.393989479,Left,3
445,135,,,0.562280517,3,,medium,0.797340592,Employed,3
446,269,engineering,,0.825529783,4,,medium,0.568072659,Employed,2
447,212,support,,0.756099669,4,,low,0.909445527,Employed,3
448,166,finance,,0.677102108,3,,medium,0.991939161,Employed,2
449,252,sales,,0.676955843,2,,low,0.895507009,Employed,2
450,175,engineering,,0.714006364,4,,low,0.685264501,Employed,4
451,224,sales,,0.74967197,4,,low,0.801603521,Employed,3
452,141,engineering,,0.633044129,2,,medium,0.652288625,Employed,3
453,150,finance,,0.858472391,4,,medium,0.70401782,Employed,2
454,226,sales,,0.779539008,3,,medium,0.692763621,Employed,4
455,156,sales,,0.522903512,4,,high,0.888119452,Employed,4
